2015-10-10 7:00,Columbus Blue Jackets,2:33
2015-10-13 7:00,Winnipeg Jets,2:23
2015-10-18 1:00,New Jersey Devils,2:23
2015-10-19 7:00,San Jose Sharks,2:19
2015-10-22 7:00,Arizona Coyotes,2:38
2015-10-25 7:00,Calgary Flames,2:18
2015-10-30 7:00,Toronto Maple Leafs,2:30
2015-11-03 7:00,Washington Capitals,2:26
2015-11-10 7:00,Carolina Hurricanes,2:27
2015-11-12 7:00,St. Louis Blues,2:26
2015-11-15 7:00,Toronto Maple Leafs,2:38
2015-11-23 7:00,Nashville Predators,2:29
2015-11-25 7:00,Montreal Canadiens,2:28
2015-11-28 1:30,Philadelphia Flyers,2:19
2015-11-30 7:00,Carolina Hurricanes,2:26
2015-12-03 7:00,Colorado Avalanche,2:19
2015-12-06 7:00,Ottawa Senators,2:30
2015-12-15 7:00,Edmonton Oilers,2:21
2015-12-20 7:00,Washington Capitals,2:31
2015-12-22 7:00,Anaheim Ducks,2:38
2016-01-05 7:00,Dallas Stars,2:24
2016-01-09 1:00,Washington Capitals,2:35
2016-01-11 7:00,Boston Bruins,2:21
2016-01-19 7:00,Vancouver Canucks,2:31
2016-01-25 7:30,Buffalo Sabres,2:30
2016-02-04 7:00,Minnesota Wild,2:25
2016-02-08 7:00,New Jersey Devils,2:29
2016-02-12 7:00,Los Angeles Kings,2:34
2016-02-14 7:30,Philadelphia Flyers,2:36
2016-02-17 8:00,Chicago Blackhawks,2:27
2016-02-21 7:00,Detroit Red Wings,2:36
2016-02-29 7:00,Columbus Blue Jackets,2:26
2016-03-06 5:00,New York Islanders,2:28
2016-03-13 12:30,Pittsburgh Penguins,2:25
2016-03-21 7:00,Florida Panthers,2:36
2016-03-23 8:00,Boston Bruins,2:41
2016-03-27 7:30,Pittsburgh Penguins,2:42
2016-04-02 7:00,Buffalo Sabres,2:31
2016-04-05 7:30,Tampa Bay Lightning,2:30
2016-04-07 7:00,New York Islanders,2:20
2016-04-09 12:30,Detroit Red Wings,2:31
